METER_READING_UNIQUE_ID,CUSTOMER_NUMBER,FACILITY,OPENING_READING,CLOSING_READING,UTILIZED_READING,DISCOUNT_READING,SOURCED_ENERGY,PRODUCT_DESC,METERED_AVAILABLE,QUANTITY_UNIT,CONTRACT_NUMBER,CONTRACT_LINE,BILL_DATE,CONTRACT_CURRENCY,TAX_RULE,PAYMENT_TERMS,CONTRACT_LINE_UNIQUE_ID
18099170231056057000,NC02,KEN00,541621.19,577063.19,35442,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2023-00010,2000,2025/01/31,USD,OVT,30NET,7911848012608655937
18319736070319799648,MIR01,SLL02,469633.632,484281.568,14647.936,0,0,Metered Energy (EMetered),metered,KWH,CONSLL02-2023-00002,1000,2025/01/31,USD,OVT,30NET,11076971414254082480
14265666883506849255,GC001,CBCH0,5319494,5393732,74238,0,0,Metered Energy (EMetered) - Substation 3,metered,KWH,CONCBCH0-2021-00001,2000,2025/01/31,USD,OVT,30EOM,9426285416093580559
7014989119993323392,NBL01,NIG00,60802.71,99573.79,38771.08,0,0,Generator (EMetered) Phase 1,metered,KWH,CONNIG00-2021-00002,6000,2025/01/31,NGN,OVT,60NET,9916550313842372826
15001460118805623126,XFSS,KEN00,0,366.9679,366.9679,0,0,Available Energy (EAvailable),available,KWH,CONKEN00-2021-00006,2000,2025/01/31,USD,OVT,30EOM,15162335653751715805
8390080776804731877,UTK01,KEN00,0,1232.34,1232.34,0,0,Available Energy (EAvailable),N/A,KWH,CONKEN00-2021-00001,2000,2025/01/31,KES,OVT,90EOM,7762725140274285350
5078969396236206240,NBL01,NIG00,367190.91,636993.98,269803.07,0,3014.45,Generator (EMetered) Phase 2,metered,KWH,CONNIG00-2021-00002,10000,2025/01/31,NGN,OVT,60NET,6747506823328654925
7583291121174891723,MB01,KEN00,95772.67,138341.11,42568.44,0,0,Metered Energy (EMetered) - Site B,metered,KWH,CONKEN00-2023-00009,5000,2025/01/31,USD,OVT,30NET,7109986209338688057
15109869083320041786,MF01,KEN00,167829.36,182238.52,14409.16,0,0,Metered Energy (EMetered) - Site B,metered,KWH,CONKEN00-2023-00011,5000,2025/01/31,USD,OVT,30NET,2857029573473698230
16484257084056304509,IVL01,EGY00,0,0,0,0,0,Available Energy (EAvailable),N/A,KWH,CONEGY00-2023-00001,2000,2025/01/31,USD,EVT,30NET,902850944879503893
