DIM_FINANCE_CONTRACT_LINE_ID,CONTRACT_LINE_UNIQUE_ID,CONTRACT_NUMBER,CONTRACT_LINE,PRODUCT_DESC,METERED_AVAILABLE,QUANTITY_UNIT,ACTIVE_STATUS,EFFECTIVE_START_DATE,EFFECTIVE_END_DATE,PRICE_ADJUST_DATE,IND_USE_CPI_INFLATION,UPDATED_AT,UPDATED_BY,EXTRACTED_AT,DIM_START_DATE,DIM_END_DATE,DIM_LAST_MODIFIED_DATE,DIM_CURRENT_RECORD
1186143380040503026,12212917838699498756,CONGHA00-2021-00002,4000,Metered Energy (EMetered) - Phase 2,metered,KWH,1,2025-02-01,2030-02-28,2025-11-01,0,2025-03-05,JMWA,2025-03-25 01:00:01.342,1900-01-01 00:00:00.000,2025-04-02 23:59:59.999,2025-03-05,0
777504935736876005,12212917838699498756,CONGHA00-2021-00002,4000,Metered Energy (EMetered) - Phase 2,metered,KWH,1,2025-02-01,2030-02-28,2025-11-01,0,2025-04-03,JMWA,2025-04-03 09:16:37.301,2025-04-03 00:00:00.000,2025-05-04 23:59:59.999,2025-04-03,0
17668679286609684012,12212917838699498756,CONGHA00-2021-00002,4000,Metered Energy (EMetered) - Phase 2,metered,KWH,1,2025-02-01,2030-02-28,2025-11-01,0,2025-05-05,CARLA,2025-05-06 01:00:01.226,2025-05-05 00:00:00.000,2025-05-05 23:59:59.999,2025-05-05,0
8971813250211603613,12212917838699498756,CONGHA00-2021-00002,4000,Metered Energy (EMetered) - Phase 2,metered,KWH,1,2025-02-01,2030-02-28,2025-11-01,0,2025-05-06,JMWA,2025-05-07 01:00:00.511,2025-05-06 00:00:00.000,2025-06-02 23:59:59.999,2025-05-06,0
9001825840370436573,12212917838699498756,CONGHA00-2021-00002,4000,Metered Energy (EMetered) - Phase 2,metered,KWH,1,2025-02-01,2030-02-28,2025-11-01,0,2025-06-03,BRON,2025-06-04 01:00:01.354,2025-06-03 00:00:00.000,2025-07-01 23:59:59.999,2025-06-03,0
11949167299615989810,12212917838699498756,CONGHA00-2021-00002,4000,Metered Energy (EMetered) - Phase 2,metered,KWH,1,2025-02-01,2030-02-28,2025-11-01,0,2025-07-02,BRON,2025-07-02 12:00:03.034,2025-07-02 00:00:00.000,2025-08-03 23:59:59.999,2025-07-02,0
12183130265514244355,12212917838699498756,CONGHA00-2021-00002,4000,Metered Energy (EMetered) - Phase 2,metered,KWH,1,2025-02-01,2030-02-28,2025-11-01,0,2025-08-04,BRON,2025-08-04 14:00:01.686,2025-08-04 00:00:00.000,2025-09-01 23:59:59.999,2025-08-04,0
6927152447551507493,12212917838699498756,CONGHA00-2021-00002,4000,Metered Energy (EMetered) - Phase 2,metered,KWH,1,2025-02-01,2030-02-28,2025-11-01,0,2025-09-02,ADMIN,2025-09-03 01:00:02.811,2025-09-02 00:00:00.000,2025-09-02 23:59:59.999,2025-09-02,0
12855376368107079866,12212917838699498756,CONGHA00-2021-00002,4000,Metered Energy (EMetered) - Phase 2,metered,KWH,1,2025-02-01,2030-02-28,2025-11-01,0,2025-09-03,BRON,2025-09-03 11:00:01.077,2025-09-03 00:00:00.000,2025-09-09 23:59:59.999,2025-09-03,0
6839105806092069175,12212917838699498756,CONGHA00-2021-00002,4000,Metered Energy (EMetered) - Phase 2,metered,KWH,1,2025-02-01,2030-02-28,2025-11-01,0,2025-09-10,BRON,2025-09-11 01:00:02.221,2025-09-10 00:00:00.000,2025-10-01 23:59:59.999,2025-09-10,0
5970217252280922088,12212917838699498756,CONGHA00-2021-00002,4000,Metered Energy (EMetered) - Phase 2,metered,KWH,1,2025-02-01,2030-02-28,2025-11-01,0,2025-10-02,BRON,2025-10-02 13:00:01.906,2025-10-02 00:00:00.000,2025-11-03 23:59:59.999,2025-10-02,0
14872040226292306024,12212917838699498756,CONGHA00-2021-00002,4000,Metered Energy (EMetered) - Phase 2,metered,KWH,1,2025-02-01,2030-02-28,2025-11-01,0,2025-11-04,BRON,2025-11-05 01:00:00.566,2025-11-04 00:00:00.000,2025-12-02 23:59:59.999,2025-11-04,0
7651209260446179678,12212917838699498756,CONGHA00-2021-00002,4000,Metered Energy (EMetered) - Phase 2,metered,KWH,1,2025-02-01,2030-02-28,2025-11-01,0,2025-12-03,BRON,2025-12-03 11:00:01.372,2025-12-03 00:00:00.000,2026-01-05 23:59:59.999,2025-12-03,0
